"id","created_at","updated_at","care_addr","care_nm","care_tel"
47,"2024-09-18 16:41:35.837232","2024-09-18 16:41:35.839075",경기도 안산시 상록구 청곡길 50 (부곡동) ,한국야생동물보호협회,"031-296-0124"
48,"2024-09-18 16:41:35.998590","2024-09-18 16:41:35.998595",경상북도 경산시 용성면 사양지길 95 (용성면) ,경산시유기동물보호소,"010-5847-0956"
49,"2024-09-23 00:27:37.235545","2024-09-23 00:27:37.235554",충청북도 보은군 보은읍 뱃들로 47  ,보은군동물보호센터,"043-540-3642"
50,"2024-09-23 00:27:37.309369","2024-09-23 00:27:37.309377",경상남도 창녕군 고암면 창밀로 335-26 (고암면) 고암면 억만리 28,창녕 유기동물보호소,"010-5488-5003"
51,"2024-09-23 00:27:37.354710","2024-09-23 00:27:37.354718",경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,진해유기동물보호소,"055-225-5701"
52,"2024-09-23 00:27:37.450288","2024-09-23 00:27:37.450296",전라북도 전주시 덕진구 인후동1가 806-6,행복한동물병원,"063-244-0090"
53,"2024-09-23 00:27:37.501777","2024-09-23 00:27:37.501785",전라북도 전주시 완산구 경원동1가 3-10,동부동물병원,"063-231-2455"
54,"2024-09-23 00:27:37.666282","2024-09-23 00:27:37.666290",강원도 철원군 동송읍 장흥로 311  ,철원군,"033-450-5394"
55,"2024-09-23 00:27:37.760314","2024-09-23 00:27:37.760322",경기도 평택시 진위면 야막길 108-86 (진위면) ,평택시유기동물보호소,"031-8024-3849"
56,"2024-09-23 00:27:37.845216","2024-09-23 00:27:37.845224",울산광역시 중구 다운로 1 (다운동) ,산타클라라동물병원,"052-244-4296"
57,"2024-09-23 00:27:38.081421","2024-09-23 00:27:38.081436",대구광역시 중구 남성로 서성로 34 (남성로) ,대구시수의사회(동산),"053-254-3366"
58,"2024-09-23 00:27:38.168374","2024-09-23 00:27:38.168382","경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",진주시동물보호센터,"055-749-6134"
59,"2024-09-23 00:27:38.200772","2024-09-23 00:27:38.200779",경상북도 울진군 울진읍 대흥신림로 916-37  ,울진군동물보호센터,"054-789-6795"
60,"2024-09-23 00:27:38.223115","2024-09-23 00:27:38.223121",경상북도 고령군 운수면 하법길 37 (운수면) ,고령군 임시보호소,"010-4419-4135"
61,"2024-09-23 00:27:38.333291","2024-09-23 00:27:38.333299",경상북도 청도군 화양읍 청화3길 10  청도군 농업기술센터,청도군동물보호소,"054-370-6557"
62,"2024-09-23 00:27:38.450773","2024-09-23 00:27:38.450781",전라북도 고창군 무장면 신촌농장길 98  ,더나은동물병원,"063-560-2629"
63,"2024-09-23 00:27:38.504462","2024-09-23 00:27:38.504469",전북특별자치도 남원시 죽항동 278번지,청원동물병원,"063-633-3533"
64,"2024-09-23 00:27:38.528305","2024-09-23 00:27:38.528313","충청남도 천안시 동남구 목천읍 충절로 577  문의전화 : 입양(010-5913-5119), 구조(010-4999-6119)",천안시 동물보호센터,"010-5913-5119"
65,"2024-09-23 00:27:38.572104","2024-09-23 00:27:38.572111",충청북도 음성군 금왕읍 대금로 1498 (금왕읍) 금왕동물병원,금왕동물병원,"043-877-0763"
66,"2024-09-23 00:27:39.177305","2024-09-23 00:27:39.177313",대구광역시 수성구 용학로 294 (범물동) 2층,멘토동물병원,"053-291-7579"
67,"2024-09-23 00:27:39.197451","2024-09-23 00:27:39.197458",대구광역시 동구 금강로 151-13 (금강동) ,대구유기동물보호센터,"053-964-6258"
68,"2024-09-23 00:27:39.218184","2024-09-23 00:27:39.218189",경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,"031-867-9119"
69,"2024-09-23 00:27:39.237037","2024-09-23 00:27:39.237043","서울특별시 서초구 양재천로19길 22 (양재동, 숨빌딩) 서초동물사랑센터",서초동물사랑센터,"02-6956-7980"
70,"2024-09-23 00:27:39.265497","2024-09-23 00:27:39.265504",서울특별시 동대문구 천호대로 145 (용두동) ,동대문구청,"02-2127-4741"
71,"2024-09-23 00:27:39.354254","2024-09-23 00:27:39.354261","경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터) ",영천유기동물보호센터,"054-339-7177"
72,"2024-09-23 00:27:39.382755","2024-09-23 00:27:39.382762",대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,"042-270-7239"
73,"2024-09-23 00:27:39.408244","2024-09-23 00:27:39.408251",전북특별자치도 전주시 덕진구 쪽구름2길 8 (여의동2가) 1층,사랑플러스동물병원,"063-211-0600"
74,"2024-09-23 00:27:39.434620","2024-09-23 00:27:39.434627",충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면) ,충주시동물보호센터,"043-851-3168"
75,"2024-09-23 00:27:39.832647","2024-09-23 00:27:39.832656",부산광역시 강서구 제도로 726 (강동동) ,(사)하얀비둘기,"051-293-9779"
76,"2024-09-23 00:27:39.944358","2024-09-23 00:27:39.944365",세종특별자치시  전동면 미륵당1길 188 (전동면) ,세종유기동물보호센터,"010-4435-3720"
77,"2024-09-23 00:27:39.963210","2024-09-23 00:27:39.963217",경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,하동군유기동물보호소,"055-880-2677"
78,"2024-09-23 00:27:39.983263","2024-09-23 00:27:39.983270",경상남도 의령군 의령읍 남강로 485-75  ,의령군 동물보호센터,"055-570-4203"
79,"2024-09-23 00:27:40.007293","2024-09-23 00:27:40.007301",경상남도 양산시 동면 석산리 392 양산시농업기술센터,양산시 동물보호센터,"055-392-5669"
80,"2024-09-23 00:27:40.105464","2024-09-23 00:27:40.105472",경상남도 사천시 용현면 진삼로 902  사천시유기동물보호소,사천시 동물보호센터,"055-831-3768"
81,"2024-09-23 00:27:40.177263","2024-09-23 00:27:40.177271",경상북도 봉화군 봉성면 농업인길 24 (봉성면) 봉화군농업기술센터,봉화군유기동물보호소,"054-679-6868"
82,"2024-09-23 00:27:40.203772","2024-09-23 00:27:40.203779",경상북도 성주군 선남면 선노로 522 (선남면) ,성주유기동물보호센터,"010-2949-6699"
83,"2024-09-23 00:27:40.359256","2024-09-23 00:27:40.359264",전라남도 무안군 삼향읍 석매길 21-3  ,신안군유기동물보호소,"010-9678-9966"
84,"2024-09-23 00:27:40.380214","2024-09-23 00:27:40.380221",전라남도 장성군 삼계면 능성로 382-31  0,장성군동물보호센터,"061-390-8423"
85,"2024-09-23 00:27:40.408743","2024-09-23 00:27:40.408750",전라남도 영암군 삼호읍 녹색로 1117-49 (삼호읍) 영암유기동물 삼호보호소,유기동물 삼호 보호소,"010-9599-5400"
86,"2024-09-23 00:27:40.439640","2024-09-23 00:27:40.439647",전라남도 구례군 용방면 용방로 64-11  ,구례군동물보호센터,"061-781-2022"
87,"2024-09-23 00:27:40.485130","2024-09-23 00:27:40.485139",전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,광양시 임시보호소,"061-797-3386"
88,"2024-09-23 00:27:40.512899","2024-09-23 00:27:40.512906","전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",순천시유기동물보호소,"061-749-8793"
89,"2024-09-23 00:27:40.547501","2024-09-23 00:27:40.547509",전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,부안군 동물보호센터,"063-580-4499"
90,"2024-09-23 00:27:40.577940","2024-09-23 00:27:40.577947",전라북도 김제시 용지면 금백로 571-39 (용지면) 전북말산업복합센터,전북말산업복합센터,"063-547-3549"
91,"2024-09-23 00:27:40.677759","2024-09-23 00:27:40.677771",전북특별자치도 남원시 인월면 인월로 64  ,인월동물병원,"063-636-2873"
92,"2024-09-23 00:27:40.694474","2024-09-23 00:27:40.694480",전라북도 전주시 완산구 서신동 831-4,서신동물병원,"063-253-2747"
93,"2024-09-23 00:27:40.810686","2024-09-23 00:27:40.810694",충청남도 논산시 계백로665번길 100 (등화동) 논산시 동물보호센터,논산시 동물보호센터,"041-746-8470"
94,"2024-09-23 00:27:40.830906","2024-09-23 00:27:40.830914",충청남도 서산시 인지면 무학재1길 99  ,서산시 동물보호센터,"041-660-2040"
95,"2024-09-23 00:27:40.876567","2024-09-23 00:27:40.876576",충청남도 보령시 녹문3길 7 (내항동) ,보령시유기동물보호소,"010-5427-7210"
96,"2024-09-23 00:27:40.892185","2024-09-23 00:27:40.892192",충청남도 보령시 남대천로 91 (대천동) 상가동 201호,보령길고양이보호협회,"010-9942-9901"
97,"2024-09-23 00:27:40.910843","2024-09-23 00:27:40.910850",충청남도 공주시 우성면 내산목천길 52-15  ,공주시 동물보호센터,"041-840-3495"
98,"2024-09-23 00:27:40.970166","2024-09-23 00:27:40.970175",충청북도 증평군 도안면 입장길 239 (도안면) ,괴산증평동물보호센터,"010-3169-1151"
99,"2024-09-23 00:27:41.024353","2024-09-23 00:27:41.024361",충청북도 증평군 도안면 입장길 239  ,증평 가정견 훈련소,"043-539-3565"
100,"2024-09-23 00:27:41.049805","2024-09-23 00:27:41.049812","충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원) ",최종주동물병원,"043-744-4209"
101,"2024-09-23 00:27:41.077829","2024-09-23 00:27:41.077836","충청북도 옥천군 옥천읍 삼금로 53 (옥천읍, 동물병원) 옥천동물병원",옥천동물병원,"010-8843-8844"
102,"2024-09-23 00:27:41.125609","2024-09-23 00:27:41.125617",강원도 고성군 간성읍 꽃내마루길 53-49  ,유기견임시보호소,"033-680-3724"
103,"2024-09-23 00:27:41.161507","2024-09-23 00:27:41.161515",강원도 양구군 국토정중앙면 삼팔선로 680  유기동물보호소,양구군유기동물보호소,"033-480-7781"
104,"2024-09-23 00:27:41.178567","2024-09-23 00:27:41.178574",강원도 정선군 정선읍 정선로 1321 (정선읍) ,정선가축병원,"033-563-0198"
105,"2024-09-23 00:27:41.271982","2024-09-23 00:27:41.271990",강원도 정선군 정선읍 비봉로 46  ,다나동물병원,"033-563-6563"
106,"2024-09-23 00:27:41.299093","2024-09-23 00:27:41.299101",강원도 속초시 하도문길 103 (대포동) ,속초시유기동물보호소,"033-636-2519"
107,"2024-09-23 00:27:41.367589","2024-09-23 00:27:41.367598",경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,광주TNR동물병원초월,"031-798-7581"
108,"2024-09-23 00:27:41.421658","2024-09-23 00:27:41.421666",경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,남양동물보호센터,"031-356-2281"
109,"2024-09-23 00:27:41.493260","2024-09-23 00:27:41.493268","경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)",가평군유기동물보호소,"031-580-4794"
110,"2024-09-23 00:27:41.526144","2024-09-23 00:27:41.526155",경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,용인시 동물보호센터,"031-324-3463"
111,"2024-09-23 00:27:41.800284","2024-09-23 00:27:41.800293","경기도 부천시 원미구 중동로 244 (중동, 상록센트럴타워) 109,110호",정샘동물병원,"032-323-4999"
112,"2024-09-23 00:27:41.816457","2024-09-23 00:27:41.816463",경기도 부천시 원미구 중동로 100 (중동) 아이파크 상가동 213호,부천시수의사회,"032-323-4999"
113,"2024-09-23 00:27:41.855008","2024-09-23 00:27:41.855038","경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10",수원시 동물보호센터,"031-228-3557"
114,"2024-09-23 00:27:41.932985","2024-09-23 00:27:41.932993",대구광역시 달성군 다사읍 달구벌대로 893 (다사읍) ,"119동물병원","070-8028-1195"
115,"2024-09-23 00:27:41.948400","2024-09-23 00:27:41.948407",대구광역시 달성군 화원읍 사문진로 447 (화원읍) 화원읍 관할,화원연합동물병원,"053-634-7975"
116,"2024-09-23 00:27:41.964814","2024-09-23 00:27:41.964820",대구광역시 수성구 수성동1가 명덕로 393 (수성동1가) ,신세계동물병원,"053-751-6693"
117,"2024-09-23 00:27:42.004872","2024-09-23 00:27:42.004880",부산광역시 연제구 온천천남로 4 (연산동) ,청조동물병원,"051-503-0688"
118,"2024-09-23 00:27:42.027298","2024-09-23 00:27:42.027305",서울특별시 강동구 양재대로81길 73 (성내동) ,강동리본센터(reborn),"070-4163-7350"
119,"2024-09-23 00:27:42.047119","2024-09-23 00:27:42.047127",서울특별시 동작구 장승배기로27길 18 (노량진동) ,디아크동물종합병원,"02-816-7582"
120,"2024-09-23 00:27:42.066392","2024-09-23 00:27:42.066400",서울특별시 마포구 독막로 45 (합정동) ,홍익동물병원,"02-325-2026"
121,"2024-09-23 00:27:42.519081","2024-09-23 00:27:42.519090",경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시 동물보호센터,"055-359-7184"
122,"2024-09-23 00:27:42.538648","2024-09-23 00:27:42.538655",부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,"051-971-6208"
123,"2024-09-23 00:27:42.565825","2024-09-23 00:27:42.565831",부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,(사)동물보호관리협회,"051-971-6208"
124,"2024-09-23 00:27:42.640330","2024-09-23 00:27:42.640338",전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과,진도군임시보호소,"061-540-6327"
125,"2024-09-23 00:27:42.666214","2024-09-23 00:27:42.666220",전라남도 해남군 해남읍 용머리길 14-37  ,해남유기동물보호센터,"061-531-3916"
126,"2024-09-23 00:27:42.823913","2024-09-23 00:27:42.823921",충청남도 홍성군 홍동면 충절로 625 (홍동면) ,금일동물보호센터,"041-634-5400"
127,"2024-09-23 00:27:42.897917","2024-09-23 00:27:42.897925",충청남도 아산시 환경공원로 158 (배미동) ,아산동물복지지원센터,"041-530-6200"
128,"2024-09-23 00:27:42.980499","2024-09-23 00:27:42.980507",강원도 삼척시 미로면 동안로 86-45  ,삼척시동물보호센터,"033-571-2610"
129,"2024-09-23 00:27:43.262349","2024-09-23 00:27:43.262358",울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,"052-238-6113"
130,"2024-09-23 00:27:43.340670","2024-09-23 00:27:43.340678",인천광역시 서구 서곶로 349 (연희동) 우리동물병원,우리동물병원,"010-8385-8883"
131,"2024-09-23 00:27:43.362209","2024-09-23 00:27:43.362216",인천광역시 계양구 장제로 923 (병방동) ,신영재동물병원,"032-552-0075"
132,"2024-09-23 00:27:43.403049","2024-09-23 00:27:43.403057",인천광역시 부평구 평천로 356 (갈산동) ,짱구네동물병원,"032-511-5515"
133,"2024-09-23 00:27:43.424952","2024-09-23 00:27:43.424959",인천광역시 부평구 원적로 419 (산곡동) ,조재진동물병원,"032-518-3800"
134,"2024-09-23 00:27:43.447995","2024-09-23 00:27:43.448003","인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시수의사회,"032-515-7567"
135,"2024-09-23 00:27:43.494892","2024-09-23 00:27:43.494898",인천광역시 중구 운남동로3번길 9 (운남동) ,신공항동물병원,"032-751-4598"
136,"2024-09-23 00:27:43.536125","2024-09-23 00:27:43.536131",부산광역시 해운대구 송정2로13번길 46 (송정동) ,(사)동부동물보호협회,"051-701-7599"
137,"2024-09-23 00:27:43.557768","2024-09-23 00:27:43.557775",부산광역시 해운대구 송정2로13번길 46 (송정동) ,동부유기동물보호협회,"051-701-7599"
138,"2024-09-23 00:27:43.600469","2024-09-23 00:27:43.600479",부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,동물보호관리협회,"010-3344-6208"
139,"2024-09-23 00:27:43.639596","2024-09-23 00:27:43.639604",부산광역시 동구 망양로 835-1 (수정동) ,동구종합동물병원,"051-441-6383"
140,"2024-09-23 00:27:43.768233","2024-09-23 00:27:43.768240","경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",태민동물병원,"010-2868-2108"
141,"2024-09-23 00:27:43.792588","2024-09-23 00:27:43.792596","경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",함양군위탁보호소,"055-960-8143"
142,"2024-09-23 00:27:43.898813","2024-09-23 00:27:43.898820","경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소) ",예천군유기동물보호소,"054-650-6578"
143,"2024-09-23 00:27:44.061211","2024-09-23 00:27:44.061217",전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,학교동물임시보호센터,"010-5649-3435"
144,"2024-09-23 00:27:44.087251","2024-09-23 00:27:44.087259",전라남도 무안군 무안읍 면주길 99  ,무안군유기동물보호소,"061-450-4059"
145,"2024-09-23 00:27:44.165224","2024-09-23 00:27:44.165231",전라남도 순천시 상사면 민속마을길 978 (상사면) .,대한동물사랑협회,"061-755-7547"
146,"2024-09-23 00:27:44.230121","2024-09-23 00:27:44.230129",전라북도 완주군 용진읍 순지2길 187-6  ,완주군유기동물보호소,"063-290-3248"
147,"2024-09-23 00:27:44.382152","2024-09-23 00:27:44.382159",충청남도 계룡시 계룡대로 245 (금암동) 1층,주동물병원,"042-840-2653"
148,"2024-09-23 00:27:44.409217","2024-09-23 00:27:44.409223",충청남도 서천군 마산면 한마로 1189-19 ,서천군유기동물보호소,"041-950-4390"
149,"2024-09-23 00:27:44.655868","2024-09-23 00:27:44.655877",충청북도 제천시 금성면 적성로8길 51 (금성면) ,제천시 동물보호센터,"043-647-0059"
150,"2024-09-23 00:27:44.771212","2024-09-23 00:27:44.771219",강원도 평창군 진부면 청송로 61 ,평창군유기동물보호소,"010-3397-9150"
151,"2024-09-23 00:27:44.791880","2024-09-23 00:27:44.791888",강원도 태백시 문의재로 5 (통동) ,태백시유기동물보호소,"010-6380-5566"
152,"2024-09-23 00:27:44.840620","2024-09-23 00:27:44.840627",경기도 광주시 경안천로 142 (송정동) 광주TNR동물병원,광주TNR동물병원송정,"031-798-7583"
153,"2024-09-23 00:27:44.905236","2024-09-23 00:27:44.905243",경기도 안성시 중앙로 431-1 (봉남동) ,이성준동물병원,"031-673-5858"
154,"2024-09-23 00:27:45.335811","2024-09-23 00:27:45.335818",울산광역시 남구 돋질로 232 (달동) 1층,강남동물병원,"052-271-0075"
155,"2024-09-23 00:27:45.436164","2024-09-23 00:27:45.436173",인천광역시 중구 개항로 68 (경동) ,경동동물병원,"032-765-9988"
156,"2024-09-23 00:27:45.479213","2024-09-23 00:27:45.479219",대구광역시 수성구 수성동2가 명덕로 421 (수성동2가) 허동물병원,허동물병원,"053-752-7535"
157,"2024-09-23 00:27:45.503775","2024-09-23 00:27:45.503780",대구광역시 서구 달서로 165 (비산동) ,대구시수의사회(보경),"053-559-9020"
158,"2024-09-23 00:27:45.517960","2024-09-23 00:27:45.518366",대구광역시 서구 서대구로 24 (내당동) ,대구시수의사회(삼성),"053-556-8575"
159,"2024-09-23 00:27:45.534880","2024-09-23 00:27:45.534886",대구광역시 서구 서대구로 64 (평리동) ,대구수의사회(아이펫),"053-573-1175"
160,"2024-09-23 00:27:45.784235","2024-09-23 00:27:45.784243",부산광역시 해운대구 송정2로13번길 46 (송정동) ,사단법인 동부,"051-701-7599"
161,"2024-09-23 00:27:45.913224","2024-09-23 00:27:45.913231",강원특별자치도 영월군 남면 갈골길 12  영월군 동물보호센터,영월군 동물보호센터,"033-374-4983"
162,"2024-09-23 00:27:46.657255","2024-09-23 00:27:46.657263",충청남도 금산군 금산읍 비단로 59  ,제일동물병원,"041-751-3739"
163,"2024-09-23 00:27:46.766602","2024-09-23 00:27:46.766609",부산광역시 해운대구 송정2로13번길 46 (송정동) ,동부동물보호협회,"051-701-7599"
164,"2024-09-23 00:27:46.792321","2024-09-23 00:27:46.792327",부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산동물보호센터,"051-832-7119"
165,"2024-09-23 00:27:46.833207","2024-09-23 00:27:46.833214",서울특별시 용산구 후암로 51 (후암동) 1층,남산동물병원,"02-778-7582"
